Nome,Partido
Jorge Braz,PRB
Wladimir Garotinho,PRP
Benes Leocadio,PTC
Fábio Faria,PSD
General Girao,PSL
João Maia,PR
Beto Rosado,PP
Natalia Bonavides,PT
Rafael Motta,PSB
Walter Alves,MDB
Afonso Hamm,PP
Afonso Motta,PDT
Alceu Moreira,MDB
Bibo Nunes,PSL
Bohn Gass,PT
Carlos Gomes,PRB
Covatti Filho,PP
Daniel da TV,PSDB
Danrlei de Deus Goleiro,PSD
Fernanda Melchionna,PSOL
Giovani Cherini,PR
Giovani Feltes,MDB
Heitor Schuch,PSB
Henrique Fontana,PT
Jerônimo Goergen,PP
Liziane Bayer,PSB
Lucas Redecker,PSDB
Marcel Van Hattem,NOVO
Marcelo Moraes,PTB
Márcio Biolchi,MDB
Marcon,PT
Maria do Rosário,PT
Marlon Santos,PDT
Maurício Dziedricki,PTB
Nereu Crispin,PSL
Onyx Lorenzoni,DEM
Osmar Terra,MDB
Paulo Pimenta,PT
Pedro Westphalen,PP
Pompeo de Mattos,PDT
Sanderson Federal,PSL
Coronel Chrisóstomo,PSL
Dr. Mauro Nazif,PSB
Expedito Netto,PSD
Jaqueline Cassol,PP
Léo Moraes,PODE
Lucio Mosquini,MDB
Mariana Carvalho,PSDB
Silvia Cristina,PDT
Dr. Hiran Gonçalves,PP
Edio Lopes,PR
Haroldo Cathedral,PSD
Jhonatan de Jesus,PRB
Joenia Wapichana,REDE
Nicoletti,PSL
Otaci,SD
Shéridan,PSDB
Angela Amin,PP
Carlos Chiodini,MDB
Carmen Zanotto,PPS
Caroline de Toni,PSL
Celso Maldaner,MDB
Coronel Armando,PSL
Daniel Freitas,PSL
Darci de Matos,PSD
Fabio Schiochet,PSL
Geovania de Sá,PSDB
Gilson Marques,NOVO
Hélio Costa,PRB
Peninha,MDB
Professor Pedro Uczai,PT
Ricardo Guidi,PSD
Rodrigo Coelho,PSB
Abou Anni,PSL
Adriana Ventura,NOVO
Alencar Santana,PT
Alex Manente,PPS
Alexandre Frota,PSL
Alexandre Leite,DEM
Alexandre Padilha,PT
Alexis,NOVO
Arlindo Chinaglia,PT
Arnaldo Jardim,PPS
Baleia Rossi,MDB
Bruna Furlan,PSDB
Capitão Augusto,PR
Carla Zambelli,PSL
Carlos Sampaio,PSDB
Carlos Zarattini,PT
Celso Russomano,PRB
Cezinha de Madureira,PSD
Coronel Tadeu,PSL
David Soares,DEM
Eduardo Bolsonaro,PSL
Eduardo Cury,PSDB
Eli Corrêa Filho,DEM
Enrico Misasi,PV
Fausto Pinato,PP
General Peternelli,PSL
Geninho Zuliani,DEM
Gilberto Nascimento,PSC
Guiga Peixoto,PSL
Guilherme Mussi,PP
Herculano Passos,MDB
Ivan Valente,PSOL
Jefferson Campos,PSB
Joice Hasselmann,PSL
Junior Bozzella,PSL
Kim Kataguiri,DEM
Luiz Carlos Motta,PR
Luiz Philippe O. Bragança,PSL
